0,bai,薭
0,ban,螁
0,bao,藵
0,biàn,卞,excitable
0,bié,别,other
1,biān,边,edge
1,biāo,杓,ladle
1,biē,憋,hasty
1,biě,瘪,vexed
1,biǎn,贬,lower
2,biǎo,表,show
2,bo,卜,prophesy
2,bà,坝,dam
2,bài,败,fail
2,bàn,办,do
3,bàng,蚌,oysters
3,bào,报,tell
3,bá,茇,grass
3,bái,白,white
3,báo,窇
4,bèi,贝,money
4,bèn,坌,dust
4,bèng,泵,pump
4,bì,币,coins
4,bìn,摈,expel
5,bìng,并
5,bí,鼻,nose
5,bò,檗,tree
5,bó,驳,mixed
5,bù,不,no
6,bú,鳪
6,bā,八,eight
6,bāi,掰,to rip
6,bān,扳,pull
6,bāng,邦,nation
7,bāo,包,wrap
7,bēi,陂,dam
7,bēn,奔,run
7,bēng,崩,rupture
7,běi,北,north
8,běn,本,root
8,běng,绷,bind
8,bī,逼,compel
8,bīn,砏
8,bīng,冰,ice
9,bō,拨,move
9,bū,逋,flee
9,bǎ,把,hold
9,bǎi,百,many
9,bǎn,阪,slope
10,bǎng,绑,bind
10,bǎo,饱
10,bǐ,匕,spoon
10,bǐng,丙,third
10,bǒ,跛,lame
11,bǔ,卟,divination
11,chuài,啜,sip
11,chuàn,串,string
11,chuàng,创,create
11,chuái,膗,ugly and fat
12,chuán,传,summon
12,chuáng,床,bed
12,chuí,垂,hand
12,chuò,辵,walk
12,chuāi,搋,to thump
13,chuān,巛,river
13,chuāng,疮,tumor
13,chuī,吹,blow
13,chuō,踔,to excel
13,chuǎn,舛,oppose
14,chuǎng,闯,rush in
14,chà,岔,diverge
14,chài,袃
14,chàn,忏,regret
14,chàng,怅,disappointed
15,chào,耖
15,chá,秅
15,chái,侪,a company
15,chán,谗,slander
15,cháng,苌,surname
16,cháo,晁,dawn
16,chè,彻,pervade
16,chèn,衬,underwear
16,chèng,秤,scale
16,chén,尘,dust
17,chéng,丞,aid
17,chì,叱,scold
17,chí,弛,loosen
17,chòng,铳,blunderbuss
17,chòu,臭,smell
18,chóng,虫,worms
18,chóu,仇,enemy
18,chù,处,place
18,chú,刍,mow
18,chún,纯,pure
19,chā,叉,fork
19,chāi,拆,rip open
19,chān,觇,peek
19,chāng,昌,good
19,chāo,抄,copy
20,chē,车,cart
20,chēn,抻,pull
20,chēng,柽,tamarisk
20,chě,扯,haul
20,chěn,碜,gritty
21,chěng,骋,hurry
21,chī,吃,eat
21,chōng,冲,soar
21,chōu,抽,sprout
21,chū,出,go out
22,chūn,春,spring
22,chǎ,蹅,to tread on
22,chǎi,茝
22,chǎn,产,produce
22,chǎng,厂,factory
23,chǎo,吵,argue
23,chǐ,尺
23,chǒng,宠,favor
23,chǒu,丑,clown
23,chǔ,杵,pestle
24,chǔn,賰,gifts
24,cong,茐
24,cuàn,窜,edit
24,cuì,紣
24,cuò,挫,grind
25,cuó,虘
25,cuān,汆,to boil
25,cuī,崔,high
25,cuō,磋,buff
25,cuǐ,趡,place
26,cuǒ,脞,trifles
26,cài,菜,dish
26,càn,灿,vivid
26,cào,肏,copulate
26,cái,才,just
27,cán,残,injure
27,cáng,藏,hide
27,cáo,曹,surname
27,cè,册,book
27,cèng,蹭,to shuffle
28,cén,岑,steep
28,céng,层,storey
28,cì,次,order
28,cí,词,words
28,còng,謥
29,còu,凑,assemble
29,cóng,从,by
29,cù,促,urge
29,cùn,寸,inch
29,cú,徂,go
30,cún,存,be
30,cā,擦,wipe
30,cāi,猜,guess
30,cān,参,ginseng
30,cāng,仓,sea
31,cāo,糙,coarse
31,cēng,噌,scold
31,cī,疵,flaw
31,cōng,匆,hastily
31,cū,粗,rough
32,cūn,邨,village
32,cǎ,礤
32,cǎi,采,pick
32,cǎn,惨,sad
32,cǎo,艸,grass
33,cǐ,此,this
33,cǔn,忖,guess
33,da,瘩,pimples
33,de,地,earth
33,diàn,电,electric
34,diào,吊,pity
34,diè,耊
34,dié,迭,repeatedly
34,diān,甸,crops
34,diāo,刁,sly
35,diē,爹,father
35,diū,丢,discard
35,diǎ,嗲
35,diǎn,典,law
35,dong,鶫,thrush
36,duàn,段,piece
36,duì,队,team
36,duò,饳
36,duó,夺,rob
36,duān,耑,specialized
37,duī,堆,heap
37,duō,多,much
37,duǎn,短,short
37,duǒ,朵,earlobe
37,dà,大,big
38,dài,代,era
38,dàn,旦,dawn
38,dàng,凼,ditch
38,dào,到,go to
38,dá,达,reach
39,dèng,邓,surname
39,dé,得,get
39,dì,弟,i
39,dìng,订,arrange
39,dí,狄,surnam
40,dòng,动,move
40,dòu,斗,Chinese peck
40,dù,芏
40,dùn,囤,grain basket
40,dú,毒,poison
41,dā,荅,thick
41,dāi,呔,a tire
41,dān,担,carry
41,dāng,当,bear
41,dāo,刀,knife
42,dēng,灯,lamp
42,děng,等
42,dī,低,low
42,dīng,丁,robust
42,dōng,冬,winter
43,dōu,都,all
43,dū,督,direct
43,dūn,吨,metric ton
43,dǎ,打,hit
43,dǎi,歹,bad
44,dǎn,胆,bravery
44,dǎng,挡,stop
44,dǎo,导,lead
44,dǐ,诋,slander
44,dǐng,顶,top
45,dǒng,董,direct
45,dǒu,抖,shake
45,dǔ,笃,deep
45,dǔn,盹,to doze
45,fiào,覅
46,fu,禣
46,fà,珐,enamel
46,fàn,犯,violate
46,fàng,放,put
46,fá,乏,lack
47,fán,凡,all
47,fáng,防,defend
47,fèi,芾,lush
47,fèn,份,part
47,fèng,凤,male phoenix
48,féi,肥,fat
48,fén,坟,grave
48,féng,冯,surname
48,fù,讣,obituary
48,fú,弗,not
49,fā,发,issue
49,fān,帆,sail
49,fāng,匚,box
49,fēi,飞,fly
49,fēn,分,divide
50,fēng,丰,lush
50,fěi,诽,slander
50,fěn,粉,powder
50,fěng,讽,recite
50,fū,夫,man
51,fǎ,法,law
51,fǎn,反,anti
51,fǎng,仿,copy
51,fǒu,缶,rad. 121
51,fǔ,呒,unclear
52,guà,诖,error
52,guài,怪,strange
52,guàn,掼,know
52,guàng,逛,roam
52,guì,刿,stab
53,guò,过,pass
53,guó,国,nation
53,guā,瓜,melon
53,guāi,乖,rebel
53,guān,观,see
54,guāng,光,light
54,guī,归,return
54,guō,呙,chat
54,guǎ,剐,cut
54,guǎi,拐,turn
55,guǎn,莞,smiling
55,guǎng,广,wide
55,guǐ,宄,a traitor
55,guǒ,果,fruit
55,gà,尬,limp
56,gài,丐,beg
56,gàn,干,oppose
56,gàng,戆,stupid
56,gào,告,tell
56,gá,钆,gadolinium
57,gè,个,piece
57,gèn,亘,from
57,gèng,更,more
57,gé,阁,chamber
57,gén,哏
58,gòng,共,all
58,gòu,诟,abuse
58,gù,固,solidify
58,gùn,棍,stick
58,gā,旮,nook
59,gāi,陔,a step
59,gān,甘,sweet
59,gāng,刚,hard
59,gāo,羙
59,gē,戈,spear
60,gēn,根,root
60,gēng,耕,plow
60,gě,哿,excellent
60,gěi,给,by
60,gěng,绠,well rope
61,gōng,弓,bow
61,gōu,勾,hook
61,gū,估,guess
61,gǎi,改,change
61,gǎn,秆,straw
62,gǎng,岗,post
62,gǎo,杲,high
62,gǒng,巩,bind
62,gǒu,苟,but
62,gǔ,古,old
63,gǔn,袬
63,he,粭
63,hu,粐
63,hua,糀
63,huan,瞣
64,huà,化,-ize
64,huài,坏,bad
64,huàn,幻,mirage
64,huá,华,flowery
64,huái,怀,bosom
65,huán,环,ring
65,huáng,皇,royal
65,huì,卉,myriads
65,huí,回,return
65,huò,货,goods
66,huó,活,live
66,huā,花,flower
66,huān,欢,joy
66,huāng,荒,desert
66,huī,灰,ashes
67,huō,劐,destroy
67,huǎn,缓,slow
67,huǎng,恍,seemingly
67,huǐ,悔,repent
67,huǒ,火,fire
68,hài,骇,scare
68,hàn,汗,sweat
68,hàng,沆,fog
68,hào,号,mark
68,há,蛤,clam
69,hái,还,yet
69,hán,邯,various
69,háng,迒
69,háo,毫,fine hair
69,hè,贺,congratulate
70,hèn,恨,hate
70,hé,禾,rice plant
70,hén,痕,scar
70,héng,恒,constant
70,hòng,讧,confusion
71,hòu,后,queen
71,hóng,弘,great
71,hóu,侯,lord
71,hù,互,mutually
71,hùn,诨,jokes
72,hú,囫,entire
72,hún,浑,mix
72,hā,铪,hafnium
72,hāi,咳,cough
72,hān,顸,stupid
73,hāng,夯,burden
73,hāo,蒿,mugwort
73,hē,诃,curse
73,hēi,黒,black
73,hēng,亨,smoothly
74,hěn,狠,cruel
74,hōng,轰,rumble
74,hōu,齁,very
74,hū,忽,suddenly
74,hūn,昏,dusk
75,hǎi,胲
75,hǎn,罕,rare
75,hǎo,好,good
75,hǒu,吼,roar
75,hǔ,虎,tiger
76,hǔn,鯶
76,jian,礀
76,jin,砛
76,jià,价,price
76,jiàn,见,see
77,jiàng,匠,artisan
77,jiào,叫,cry
77,jiá,郏,surname
77,jiè,介,herald
77,jié,孑,lonely
78,jiù,旧,old
78,jiā,加,add to
78,jiān,戋,small
78,jiāng,江,yangzi
78,jiāo,艽
79,jiē,阶,rank
79,jiě,姐,young lady
79,jiōng,絅,dust coat
79,jiū,纠,inspect
79,jiǎ,甲,armor
80,jiǎn,囝,baby
80,jiǎng,讲,talk
80,jiǎo,角,horn
80,jiǒng,炅,brilliance
80,jiǔ,九,nine
81,juàn,狷,rash
81,jué,孓,beautiful
81,juān,涓,brook
81,juē,噘,pouting
81,juǎn,卷,curl
82,jì,计,plan
82,jìn,妗
82,jìng,迳,pass by
82,jí,及,and
82,jù,巨,large
83,jùn,俊,talented
83,jú,局,bureau
83,jī,讥,jeer
83,jīn,巾,towel
83,jīng,茎,stem
84,jū,苴,sackcloth
84,jūn,军,army
84,jǐ,几,small table
84,jǐn,仅,only
84,jǐng,井,well
85,jǔ,咀,suck
85,kong,躻
85,kuà,挎,carry
85,kuài,块,piece
85,kuàng,邝,surname
86,kuáng,狂,mad
86,kuì,匮,to lack
86,kuí,隗,high
86,kuò,扩,expand
86,kuā,夸,handsome
87,kuān,宽,broad
87,kuāng,匡,correct
87,kuī,亏,lose
87,kuǎ,垮,fail
87,kuǎi,蒯,a rush
88,kuǎn,款,item
88,kuǎng,夼
88,kuǐ,頍
88,kài,忾,anger
88,kàn,看,look
89,kàng,亢,high
89,kào,铐,shackles
89,káng,扛,lift
89,kè,克,gram
89,ké,壳,husk
90,kòng,控,accuse
90,kòu,叩,ask
90,kù,库,armory
90,kùn,困,beseige
90,kā,咖,coffee
91,kāi,开,open
91,kān,刊,publish
91,kāng,闶,door
91,kāo,尻,sacrum
91,kē,苛,small
92,kēng,吭,throat
92,kě,可,may
92,kěn,肻
92,kōng,空,empty
92,kōu,芤
93,kū,郀
93,kūn,坤,earth
93,kǎ,卡,card
93,kǎi,剀,sharpen
93,kǎn,坎,pit
94,kǎo,考,test
94,kǒng,孔,hole
94,kǒu,口,mouth
94,kǔ,苦,bitter
94,kǔn,悃,loyal
95,la,鞡,leg warmer
95,lao,蛯,shrimp
95,le,了,to finish
95,liàn,练,drill
95,liàng,亮,bright
96,liào,尥
96,lián,奁
96,liáng,良,good
96,liáo,辽,far
96,liè,劣,bad
97,liù,六,number six
97,liú,刘,kill
97,liāo,撩,raise
97,liě,咧,grin
97,liū,溜,slide
98,liǎ,俩,two
98,liǎn,敛,collect
98,liǎng,两,two
98,liǎo,钌,ruthenium
98,liǔ,柳,pleasure
99,lu,鈩,oven
99,luàn,乱,revolt
99,luán,娈,lovely
99,luò,荦,brindled ox
99,luó,脶,lines
100,luō,罗,gauze
100,luǎn,卵,egg
100,luǒ,倮,bare
100,là,腊,dried meat
100,lài,赉,give
101,làn,烂,rotten
101,làng,莨,herb
101,lào,涝,flood
101,lá,旯,nook
101,lái,来,come
102,lán,兰,orchid
102,láng,郎,husband
102,láo,牢,pen
102,lè,仂,remainder
102,lèi,泪,cry
103,lèng,愣,be in a daze
103,léi,雷,thunder
103,léng,棱,edge
103,lì,力,power
103,lìn,吝,stingy
104,lìng,另,other
104,lí,狸,fox
104,lín,邻,neighbor
104,líng,伶,lonely
104,lòu,陋,ugly
105,lóng,龙,dragon
105,lóu,娄,surname
105,lù,陆,land
105,lùn,论,debate
105,lú,卢,hut
106,lún,囵,all
106,lüè,掠,rob
106,lā,垃,waste
106,lāo,捞,fish
106,lē,肋,ribs
107,lēi,勒,strangle
107,lěi,耒,plow
107,lěng,冷,cold
107,lī,哩,mile
107,līn,拎,to haul
108,lōu,䁖,to see
108,lū,撸
108,lūn,抡,swing
108,lǎ,喇,horn
108,lǎn,览,look at
109,lǎng,朗,clear
109,lǎo,老,old
109,lǐ,礼,manners
109,lǐn,廪,granary
109,lǐng,袊
110,lǒng,垅,mound
110,lǒu,搂,hug
110,lǔ,卤,salt
110,lǘ,驴,ass
110,lǚ,吕,surname
111,lǜ,律,statute
111,me,么,tender
111,miàn,靣
111,miào,妙,subtle
111,mián,眠,sleep
112,miáo,苗,sprouts
112,miè,灭,wipe out
112,miù,谬,error
112,miē,乜,to squint
112,miǎn,沔,flood
113,miǎo,杪,twig
113,mo,麿,I
113,mà,犸,mammoth
113,mài,迈,pass by
113,màn,曼,long
114,mào,芼,greens
114,má,麻,hemp
114,mái,埋,bury
114,mán,蛮,savage
114,máng,忙,busy
115,máo,毛,hair
115,mèi,祙,demon
115,mèn,闷,gloomy
115,mèng,孟,great
115,méi,没,not
116,mén,门,gate
116,méng,虻,gadfly
116,mì,汨,to sink
116,mìng,命,life
116,mí,罙,deep
117,mín,民,people
117,míng,名,name
117,mò,末,end
117,mó,谟,plan
117,móu,牟,make
118,mù,木,tree
118,mā,妈,mama
118,mān,颟,dawdling
118,māo,猫,cat
118,měi,每,every
119,měng,猛,bold
119,mī,咪
119,mō,摸,caress
119,mōu,哞,moo
119,mǎ,马,horse
120,mǎi,买,buy
120,mǎn,满,fill
120,mǎng,莽,thicket
120,mǎo,泖,still waters
120,mǐ,芈,surname
121,mǐn,闵,mourn
121,mǐng,酩,drunk
121,mǒ,抹,smear
121,mǔ,母,mother
121,nao,脳,brain
122,niàn,廿,twenty
122,niàng,酿,brew
122,niào,尿,urine
122,nián,年
122,niáng,娘,wife
123,niè,陧,in disorder
123,nié,苶,weary
123,niú,牛,cow
123,niān,拈,draw lots
123,niē,捏,mold
124,niū,妞,girl
124,niǎn,跈
124,niǎo,鸟,bird
124,niǔ,狃,to covet
124,nuò,诺,promise
125,nuó,挪,move
125,nuǎn,暖,warm
125,nà,那,that
125,nài,奈,but
125,nào,闹,quarrel
126,ná,拿,take
126,nán,男,male
126,náng,囊,bag
126,náo,呶,hubbub
126,nè,讷,mumble
127,nèi,内,inside
127,nèn,恁,so
127,néng,能,can
127,nì,昵,close
127,nìng,佞,glib
128,ní,尼,Buddhist nun
128,nín,您
128,níng,宁,calm
128,nòng,弄,do
128,nòu,耨,hoe
